Description,City,Neighborhood,Latitude,Longitude,Reference_Code,Violation_Type,Recording_Date,Recording_Hour,Recording_Minute,Source,Youtube_ID,Weapons_Used,URLs_And_News,Page_Title,Video_URL,Database_ID
Talbiseh a small child infected as a result of Russian raids on the city,HOMS,Talbisah,34.833601,36.735749,RU_1082,Alleged civilian casualties from Russian attacks,2016-02-26,20.0,38.0,talbisa h,https://www.youtube.com/watch?v=jdAeT4JB8CE,NA,NA,RU_1082,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%b7%d9%81%d9%84%20%d8%b5%d8%ba%d9%8a%d8%b1%20%d9%85%d8%b5%d8%a7%d8%a8%20%d9%86%d8%aa%d9%8a%d8%ac%d8%a9%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%2026%202%202016-jdAeT4JB8CE.mp4,755
Talbiseh injuring a baby as a result of Russian raids,HOMS,Talbisah,34.833601,36.735749,RU_1083,Alleged civilian casualties from Russian attacks,2016-02-26,20.0,20.0,talbisa h,https://www.youtube.com/watch?v=iTnkQ-LJc2Y,NA,NA,RU_1083,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%a7%d8%b5%d8%a7%d8%a8%d8%a9%20%d8%b7%d9%81%d9%84%20%d8%b1%d8%b6%d9%8a%d8%b9%20%d9%86%d8%aa%d9%8a%d8%ac%d8%a9%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%2026%202%202016-iTnkQ-LJc2Y.mp4,756
Talbiseh Homs overnight raids by aviation the Russian occupation targeted city neighborhoods at night,HOMS,Talbisah,34.833601,36.735749,RU_1084,Alleged civilian casualties from Russian attacks,2016-02-26,20.0,18.0,motasem homs,https://www.youtube.com/watch?v=49xFaDikEng,NA,NA,RU_1084,https://media.syrianarchive.org/files/russian_attacks/%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%ad%d9%85%d8%b5%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d9%84%d9%8a%d9%84%d9%8a%d8%a9%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%a7%d8%ad%d8%aa%d9%84%d8%a7%d9%84%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%8a%d8%b3%d8%aa%d9%87%d8%af%d9%81%20%d8%a7%d8%ad%d9%8a%d8%a7%d8%a1%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d9%84%d9%8a%d9%84%d8%a726_2_2016-49xFaDikEng.mp4,757
Sham DamascusDumaa martyrs the Russian aviation bombarded video Warning very tough P3,DAMASCUS,Duma,33.5709426,36.3968945,RU_1085,Alleged civilian casualties from Russian attacks,2016-02-26,19.0,19.0,ShaamNetwork S.N.N,https://www.youtube.com/watch?v=JUnT-TSmfS0,NA,NA,RU_1085,https://media.syrianarchive.org/files/russian_attacks/%d8%b4%d8%a7%d9%85%20%d8%b1%d9%8a%d9%81%20%d8%af%d9%85%d8%b4%d9%82%20%d8%af%d9%88%d9%85%d8%a7%20%d8%b4%d9%87%d8%af%d8%a7%d8%a1%20%d8%a8%d9%82%d8%b5%d9%81%20%d9%84%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%2026%202%202016%20%d8%aa%d8%ad%d8%b0%d9%8a%d8%b1%20%d8%a7%d9%84%d9%81%d9%8a%d8%af%d9%8a%d9%88%20%d9%82%d8%a7%d8%b3%d9%8a%20%d8%ac%d8%af%d8%a7%d9%8b%20%d8%ac3-JUnT-TSmfS0.mp4,758
8 killed in raids on military aircraft is Dumaa in the Eastern Ghouta,DAMASCUS,Duma,33.5709426,36.3968945,RU_1086,Alleged civilian casualties from Russian attacks,2016-02-26,18.0,46.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=7ar2xfTYKQU,NA,NA,RU_1086,https://media.syrianarchive.org/files/russian_attacks/8%20%d9%82%d8%aa%d9%84%d9%89%20%d9%81%d9%8a%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d9%84%d8%b7%d8%a7%d8%a6%d8%b1%d8%a7%d8%aa%20%d8%ad%d8%b1%d8%a8%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%af%d9%88%d9%85%d8%a7%20%d9%81%d9%8a%20%d8%a7%d9%84%d8%ba%d9%88%d8%b7%d8%a9%20%d8%a7%d9%84%d8%b4%d8%b1%d9%82%d9%8a%d8%a9-7ar2xfTYKQU.mp4,759
Three raids on villages in the eastern countryside Talbisa in Homs,HOMS,Talbisah,34.833601,36.735749,RU_1087,Alleged civilian casualties from Russian attacks,2016-02-26,17.0,36.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=wifSUs3akRc,NA,NA,RU_1087,https://media.syrianarchive.org/files/russian_attacks/%d8%ab%d9%84%d8%a7%d8%ab%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%b9%d9%84%d9%89%20%d9%82%d8%b1%d9%89%20%d8%b1%d9%8a%d9%81%20%d8%aa%d9%84%d8%a8%d9%8a%d8%b3%d8%a9%20%d8%a7%d9%84%d8%b4%d8%b1%d9%82%d9%8a%20%d9%81%d9%8a%20%d8%ad%d9%85%d8%b5-wifSUs3akRc.mp4,760
Shahba Press | The flight of Russian warplanes in the skies of the city of Dara Aza countryside west of Aleppo,ALEPPO,Darat Izzah,36.2833397,36.8499899,RU_1088,Alleged civilian casualties from Russian attacks,2016-02-26,17.0,0.0,وكالة شهبا برس Shahba Press Agency,https://www.youtube.com/watch?v=myWaa88ML_g,NA,NA,RU_1088,https://media.syrianarchive.org/files/russian_attacks/%d8%b4%d9%87%d8%a8%d8%a7%20%d8%a8%d8%b1%d8%b3%20_%20%d8%aa%d8%ad%d9%84%d9%8a%d9%82%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%81%d9%8a%20%d8%b3%d9%85%d8%a7%d8%a1%20%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%af%d8%a7%d8%b1%d8%a9%20%d8%b9%d8%b2%d8%a9%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%ad%d9%84%d8%a8%20%d8%a7%d9%84%d8%ba%d8%b1%d8%a8%d9%8a-myWaa88ML_g.mp4,761
Anadan || Scenes from the ongoing Russian strikes on the city,ALEPPO,Anadan,36.2924395,37.041918,RU_1089,Alleged civilian casualties from Russian attacks,2016-02-26,15.0,41.0,المكتب الإعلامي حريتان-Harithan media centre,https://www.youtube.com/watch?v=bpIZDxhEpQ8,NA,NA,RU_1089,https://media.syrianarchive.org/files/russian_attacks/%d8%b9%d9%86%d8%af%d8%a7%d9%86%20_%20%d9%85%d8%b4%d8%a7%d9%87%d8%af%20%d9%85%d9%86%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%a7%d9%84%d9%85%d8%b3%d8%aa%d9%85%d8%b1%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%2026-2-2016-bpIZDxhEpQ8.mp4,762
"Dumaa bombardment and fall of 8 martyrs, including Maleeh family",DAMASCUS,Duma,33.5709426,36.3968945,RU_1090,Alleged civilian casualties from Russian attacks,2016-02-26,15.0,9.0,Yasser Doumany-ياسر الدوماني,https://www.youtube.com/watch?v=WJOKydb7SfY,NA,NA,RU_1090,https://media.syrianarchive.org/files/russian_attacks/%d8%a7%d9%84%d9%82%d8%b5%d9%81%20%d8%b9%d9%84%d9%89%20%d8%af%d9%88%d9%85%d8%a7%20%d9%88%d8%b3%d9%82%d9%88%d8%b7%208%d8%b4%d9%87%d8%af%d8%a7%d8%a1%20%d8%a8%d9%8a%d9%86%d9%87%d9%85%20%20%d8%b9%d8%a7%d8%a6%d9%84%d8%a9%20%d8%a7%d9%84%d9%85%d9%84%d9%8a%d8%ad%20%202016.2.26-WJOKydb7SfY.mp4,763
More than 56 raid in the eastern Ghouta Joubar neighborhood before the armistice,DAMASCUS,Eastern Ghouta,33.5296468,36.3848593,RU_1091,Alleged civilian casualties from Russian attacks,2016-02-26,15.0,6.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=8sICM8kek98,NA,NA,RU_1091,https://media.syrianarchive.org/files/russian_attacks/%d8%a3%d9%83%d8%ab%d8%b1%20%d9%85%d9%86%2056%20%d8%ba%d8%a7%d8%b1%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d8%ba%d9%88%d8%b7%d8%a9%20%d8%a7%d9%84%d8%b4%d8%b1%d9%82%d9%8a%d8%a9%20%d9%88%d8%ad%d9%8a%20%d8%ac%d9%88%d8%a8%d8%b1%20%d9%82%d9%8f%d8%a8%d9%8a%d9%84%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9-8sICM8kek98.mp4,764
More than 56 raid in the eastern Ghouta neighborhood Joubar ahead of the armistice,DAMASCUS,Irbin nahiyah,33.538893,36.365787,RU_1092,Alleged civilian casualties from Russian attacks,2016-02-26,15.0,6.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=8sICM8kek98,NA,NA,RU_1092,https://media.syrianarchive.org/files/russian_attacks/%d8%a3%d9%83%d8%ab%d8%b1%20%d9%85%d9%86%2056%20%d8%ba%d8%a7%d8%b1%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d8%ba%d9%88%d8%b7%d8%a9%20%d8%a7%d9%84%d8%b4%d8%b1%d9%82%d9%8a%d8%a9%20%d9%88%d8%ad%d9%8a%20%d8%ac%d9%88%d8%a8%d8%b1%20%d9%82%d9%8f%d8%a8%d9%8a%d9%84%20%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9-8sICM8kek98.mp4,765
"Step || Saw three Russian fighter jets accompanied by a large cargo aircraft skies  ""the northern countryside  of Homs",HOMS,NA,34.91639,36.733818,RU_1093,Alleged civilian casualties from Russian attacks,2016-02-26,14.0,41.0,Step News Agency,https://www.youtube.com/watch?v=6CuLnr0nFpU,NA,NA,RU_1093,https://media.syrianarchive.org/files/russian_attacks/%d8%ae%d8%b7%d9%88%d8%a9%20_%20%d8%b4%d8%a7%d9%87%d8%af%20%d8%ab%d9%84%d8%a7%d8%ab%d8%a9%20%d9%85%d9%82%d8%a7%d8%aa%d9%84%d8%a7%d8%aa%20%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%aa%d8%b1%d8%a7%d9%81%d9%82%20%d8%b7%d8%a7%d8%a6%d8%b1%d8%a9%20%d8%b4%d8%ad%d9%86%20%d9%83%d8%a8%d9%8a%d8%b1%d8%a9%20%d8%a8%d8%b3%d9%85%d8%a7%d8%a1%20%d8%b1%d9%8a%d9%81%20'%d8%ad%d9%85%d8%b5%20%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a-6CuLnr0nFpU.mp4,766
Syria - Damascus: air strikes from Russian warplanes on the town of Ein Tarma,DAMASCUS,Duma,33.5709426,36.3968945,RU_1094,Alleged civilian casualties from Russian attacks,2016-02-26,13.0,54.0,SMO Syria,https://www.youtube.com/watch?v=nnNvNOP8gj0,NA,NA,RU_1094,https://media.syrianarchive.org/files/russian_attacks/%d8%b3%d9%88%d8%b1%d9%8a%d8%a7%20-%20%d8%b1%d9%8a%d9%81_%d8%af%d9%85%d8%b4%d9%82%20%20-%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%ac%d9%88%d9%8a%d8%a9%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%a8%d9%84%d8%af%d8%a9%20%d8%b9%d9%8a%d9%86%20%d8%aa%d8%b1%d9%85%d8%a7-nnNvNOP8gj0.mp4,767
Syria - Damascus: 21 rockets fired by Russian warplanes within two minutes target the Jobar district of Damascus.,DAMASCUS,Jobar,33.531162,36.336808,RU_1095,Alleged civilian casualties from Russian attacks,2016-02-26,13.0,4.0,SMO Syria,https://www.youtube.com/watch?v=MVeoUv2WTJo,NA,NA,RU_1095,https://media.syrianarchive.org/files/russian_attacks/%d8%b3%d9%88%d8%b1%d9%8a%d8%a7%20-%20%d8%af%d9%85%d8%b4%d9%82%20%20-%20%d9%a1%d9%a2%20%d8%b5%d8%a7%d8%b1%d9%88%d8%ae%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%af%d9%81%d8%b9%d8%aa%d9%8a%d9%86%20%d8%a7%d8%b3%d8%aa%d9%87%d8%af%d9%81%d8%aa%20%d8%ad%d9%8a%20%d8%ac%d9%88%d8%a8%d8%b1%20%d8%a7%d9%84%d8%af%d9%85%d8%b4%d9%82%d9%8a-MVeoUv2WTJo.mp4,768
Place of the fall of the missiles by Russian occupation airplanes over Dumaa country side of  Damascus,DAMASCUS,Duma,33.5709426,36.3968945,RU_1096,Alleged civilian casualties from Russian attacks,2016-02-26,12.0,24.0,baladi- news,https://www.youtube.com/watch?v=Dwmhl44yebk,NA,NA,RU_1096,https://media.syrianarchive.org/files/russian_attacks/%d9%85%d9%83%d8%a7%d9%86%20%d8%b3%d9%82%d9%88%d8%b7%20%d8%b5%d9%88%d8%a7%d8%b1%d9%8a%d8%ae%20%d8%b7%d8%a7%d8%a6%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%a7%d8%ad%d8%aa%d9%84%d8%a7%d9%84%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%af%d9%88%d9%85%d8%a7%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%af%d9%85%d8%b4%d9%82%202016_2_26-Dwmhl44yebk.mp4,769
Russian warplanes shell the Lattameneh city of Hama northern province.,HAMA,latamneh,35.326749,36.621766,RU_1097,Alleged civilian casualties from Russian attacks,2016-02-26,12.0,11.0,محمود الحموي-Mahmoud Alhamwi,https://www.youtube.com/watch?v=8v-rDg5t71w,NA,NA,RU_1097,https://media.syrianarchive.org/files/russian_attacks/%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%8a%d9%82%d8%b5%d9%81%20%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%a7%d9%84%d9%84%d8%b7%d8%a7%d9%85%d9%86%d8%a9%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%ad%d9%85%d8%a7%d8%a9%20%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a%2026%202%202016-8v-rDg5t71w.mp4,770
The Russian occupation airplans launches several air strikes on Jobar neighborhood of Damascus,DAMASCUS,Jobar,33.531162,36.336808,RU_1098,Alleged civilian casualties from Russian attacks,2016-02-26,12.0,7.0,baladi- news,https://www.youtube.com/watch?v=lShPPo2vF6M,NA,NA,RU_1098,https://media.syrianarchive.org/files/russian_attacks/%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%a7%d8%ad%d8%aa%d9%84%d8%a7%d9%84%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%8a%d8%b4%d9%86%20%d8%b9%d8%af%d8%a9%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%ac%d9%88%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%ad%d9%8a%20%d8%ac%d9%88%d8%a8%d8%b1%20%d9%81%d9%8a%20%d8%af%d9%85%d8%b4%d9%82%202016_2_26-lShPPo2vF6M.mp4,771
Syria once again more of a flight by the Russian occupation colony Humaimam countryside of lattakia,HOMS,NA,34.91639,36.733818,RU_1099,Alleged civilian casualties from Russian attacks,2016-02-26,11.0,47.0,motasem homs,https://www.youtube.com/watch?v=vHjinlyS_jw,NA,NA,RU_1099,https://media.syrianarchive.org/files/russian_attacks/%d9%85%d8%ac%d8%af%d8%af%d8%a7%20%d8%b3%d9%88%d8%b1%d9%8a%d8%a7%d8%a7%d9%84%d9%85%d8%b2%d9%8a%d8%af%20%d9%85%d9%86%20%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%a7%d8%ad%d8%aa%d9%84%d8%a7%d9%84%d8%a7%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%a7%d9%84%d9%89%d9%89%20%d9%85%d8%b3%d8%aa%d8%b9%d9%85%d8%b1%d8%a9%20%d8%ad%d9%85%d9%8a%d9%85%d9%8a%d9%85%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%a7%d9%84%d8%a7%d8%b0%d9%82%d9%8a%d8%a9%2026_2_2016-vHjinlyS_jw.mp4,772
Anadan || Scenes from the strikes of Russian warplanes on city,ALEPPO,Anadan,36.2924395,37.041918,RU_1100,Alleged civilian casualties from Russian attacks,2016-02-26,11.0,8.0,المكتب الإعلامي حريتان-Harithan media centre,https://www.youtube.com/watch?v=44TUoQY_iIY,NA,NA,RU_1100,https://media.syrianarchive.org/files/russian_attacks/%d8%b9%d9%86%d8%af%d8%a7%d9%86%20_%20%d9%85%d8%b4%d8%a7%d9%87%d8%af%20%d9%85%d9%86%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%2026-2-2016-44TUoQY_iIY.mp4,773
Russian aircraft bombardment on Jobar neighborhood in Damascus,DAMASCUS,Jobar,33.531162,36.336808,RU_1101,Alleged civilian casualties from Russian attacks,2016-02-26,10.0,41.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=h61TfjoHNLY,NA,NA,RU_1101,https://media.syrianarchive.org/files/russian_attacks/%d9%82%d8%b5%d9%81%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d8%a7%d8%a6%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%ad%d9%8a%20%d8%ac%d9%88%d8%a8%d8%b1%20%d8%a8%d8%af%d9%85%d8%b4%d9%82-h61TfjoHNLY.mp4,774
Agency Qassioun | The moment of launching several Russian raids on the Jobar neighborhood of Damascus,DAMASCUS,Duma,33.5709426,36.3968945,RU_1102,Alleged civilian casualties from Russian attacks,2016-02-26,10.0,28.0,Qasioun News Agency,https://www.youtube.com/watch?v=GRcfL69aEnk,NA,NA,RU_1102,https://media.syrianarchive.org/files/russian_attacks/%d9%88%d9%83%d8%a7%d9%84%d8%a9%20%d9%82%d8%a7%d8%b3%d9%8a%d9%88%d9%86_%20%d9%84%d8%ad%d8%b8%d8%a9%20%d8%b4%d9%86%20%d8%b9%d8%af%d8%a9%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%ad%d9%8a%20%d8%ac%d9%88%d8%a8%d8%b1%20%d8%a8%d8%af%d9%85%d8%b4%d9%82%2026-2-2016-GRcfL69aEnk.mp4,775
the Russian occupation Aviation bombed Dumaa city by several air strikes in Damascus,DAMASCUS,Duma,33.5709426,36.3968945,RU_1103,Alleged civilian casualties from Russian attacks,2016-02-26,9.0,43.0,baladi- news,https://www.youtube.com/watch?v=RyaFZJnPYGA,NA,NA,RU_1103,https://media.syrianarchive.org/files/russian_attacks/%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%a7%d8%ad%d8%aa%d9%84%d8%a7%d9%84%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%8a%d9%82%d8%b5%d9%81%20%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%af%d9%88%d9%85%d8%a7%20%d8%a8%d8%b9%d8%af%d8%a9%20%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%ac%d9%88%d9%8a%d8%a9%20%d9%81%d9%8a%20%d8%b1%d9%8a%d9%81%20%d8%af%d9%85%d8%b4%d9%82%202016_2_26-RyaFZJnPYGA.mp4,776
Aleppo || Dozens of strikes from Russian warplanes cities and towns of the northern countryside,ALEPPO,Harithan,36.287871,37.0838783,RU_1104,Alleged civilian casualties from Russian attacks,2016-02-26,7.0,37.0,المكتب الإعلامي حريتان-Harithan media centre,https://www.youtube.com/watch?v=CnbhvstLcpk,NA,NA,RU_1104,https://media.syrianarchive.org/files/russian_attacks/%d8%ad%d9%80%d9%84%d9%80%d8%a8%20_%20%d8%b9%d8%b4%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d9%85%d9%86%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d8%b9%d9%84%d9%89%20%d9%85%d8%af%d9%86%20%d9%88%d8%a8%d9%84%d8%af%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%8a%d9%81%20%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a%2026-2-2016-CnbhvstLcpk.mp4,777
Aftermath of cluster bombs in Ghantoo.,HOMS,Al-Ghantu,34.8223907,36.6935635,RU_1105,Alleged civilian casualties from Russian attacks,2016-02-25,15.0,45.0,شبكة تلبيسة مباشر-Talbisah network,https://www.youtube.com/watch?v=MxIl4f61YmM,NA,NA,RU_1105,https://media.syrianarchive.org/files/russian_attacks/%d9%85%d8%ae%d9%84%d9%81%d8%a7%d8%aa%20%d8%a7%d9%84%d9%82%d9%86%d8%a7%d8%a8%d9%84%20%d8%a7%d9%84%d8%b9%d9%86%d9%82%d9%88%d8%af%d9%8a%d8%a9%20%d9%81%d9%8a%20%d8%a7%d9%84%d8%ba%d9%86%d8%b7%d9%88-MxIl4f61YmM.mp4,778
Step || View the Russian air raids on the Jobar neighborhood of Damascus,DAMASCUS,Duma,33.5709426,36.3968945,RU_1106,Alleged civilian casualties from Russian attacks,2016-02-25,15.0,7.0,Step News Agency,https://www.youtube.com/watch?v=P2NjystWXws,NA,NA,RU_1106,https://media.syrianarchive.org/files/russian_attacks/%d8%ae%d8%b7%d9%88%d8%a9%20_%20%d8%b4%d8%a7%d9%87%d8%af%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%ac%d9%88%d9%8a%d8%a9%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%ad%d9%8a%20%d8%ac%d9%88%d8%a8%d8%b1%20%d8%a7%d9%84%d8%af%d9%85%d8%b4%d9%82%d9%8a-P2NjystWXws.mp4,779
Massive destruction caused by the bombing of Russian warplanes for the city of Al-Lataminah in Hama,HAMA,latamneh,35.326749,36.621766,RU_1107,Alleged civilian casualties from Russian attacks,2016-02-25,14.0,20.0,المركز الصحفي السوري-Syrian Press Centre,https://www.youtube.com/watch?v=PFz0F9BuEF8,NA,NA,RU_1107,https://media.syrianarchive.org/files/russian_attacks/%d8%af%d9%85%d8%a7%d8%b1%20%d9%87%d8%a7%d8%a6%d9%84%20%d8%ac%d8%b1%d8%a7%d8%a1%20%d9%82%d8%b5%d9%81%20%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86%20%d8%a7%d9%84%d8%ad%d8%b1%d8%a8%d9%8a%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%e2%80%ab%e2%80%8f%d8%a7%d9%84%d9%84%d8%b7%d8%a7%d9%85%d9%86%d8%a9%20%d9%81%d9%8a%20%d8%b1%d9%8a%d9%81%20%d8%ad%d9%85%d8%a7%d8%a9-PFz0F9BuEF8.mp4,780
Huraytan || The devastation caused by strikes of Russian warplanes on the city,ALEPPO,Harithan,36.287871,37.0838783,RU_1108,Alleged civilian casualties from Russian attacks,2016-02-25,13.0,59.0,المكتب الإعلامي حريتان-Harithan media centre,https://www.youtube.com/watch?v=9ua9tIY4zm8,NA,NA,RU_1108,https://media.syrianarchive.org/files/russian_attacks/%d8%ad%d8%b1%d9%8a%d8%aa%d8%a7%d9%86%20_%20%d8%a2%d8%ab%d8%a7%d8%b1%20%d8%a7%d9%84%d8%af%d9%85%d8%a7%d8%b1%20%d8%ac%d8%b1%d8%a7%d8%a1%20%d8%a7%d9%84%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a9%20%d8%b9%d9%84%d9%89%20%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9%2025-2-2016-9ua9tIY4zm8.mp4,781
Consecutive air strikes carried out by Russia leave large destruction in the Lattameneh city of Hama province.,HAMA,latamneh,35.326749,36.621766,RU_1109,Alleged civilian casualties from Russian attacks,2016-02-25,13.0,23.0,محمود الحموي-Mahmoud Alhamwi,https://www.youtube.com/watch?v=1xTD0euEw2U,NA,NA,RU_1109,https://media.syrianarchive.org/files/russian_attacks/%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa%20%d9%85%d8%aa%d9%84%d8%a7%d8%ad%d9%82%d8%a9%20%d9%8a%d8%b4%d9%86%d9%87%d8%a7%20%d8%a7%d9%84%d8%af%d8%a8%20%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%20%d9%85%d8%ad%d8%af%d8%ab%d8%a7%d9%8b%20%d8%af%d9%85%d8%a7%d8%b1%20%d9%87%d8%a7%d8%a6%d9%84%20%d9%81%d9%8a%20%d9%85%d8%af%d9%8a%d9%86%d8%a9%20%d8%a7%d9%84%d9%84%d8%b7%d8%a7%d9%85%d9%86%d8%a9%20%d8%a8%d8%b1%d9%8a%d9%81%20%d8%ad%d9%85%d8%a7%d8%a9%2025%202%202016-1xTD0euEw2U.mp4,782
